pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance
1146,608070,"Ramírez, José",1146,100,0.292,0.315,0.294,0.607,0.415,0.372,0.263,64,219,88.5,22.9,2249,87.7,87.84,79,475,671,0.1,6.29,112,154,119,150,296,324,294
1123,467793,"Santana, Carlos",1123,100,0.199,0.15,0.212,0.35,0.316,0.368,0.25,41,206,87.9,12.2,2265,87.7,87.72,84,408,715,0,6.31,113,159,127,150,297,326,297
1118,596019,"Lindor, Francisco",1118,100,0.258,0.157,0.28,0.415,0.324,0.345,0.278,61,236,89.4,12.7,2246,88.1,88.23,111,547,571,0.1,6.27,113,152,114,150,294,323,294
1112,624415,"Biggio, Cavan",1112,100,0.25,0.182,0.311,0.432,0.355,0.315,0.214,55,220,86.9,15.8,2221,88.9,88.7,93,404,708,-0.2,6.29,115,163,117,151,287,320,296
1100,571970,"Muncy, Max",1100,100,0.192,0.197,0.203,0.389,0.316,0.364,0.233,39,203,88.5,14.2,2286,88.1,86.57,108,403,697,-1.5,6.18,116,161,133,152,297,328,308
1100,592885,"Yelich, Christian",1100,100,0.205,0.225,0.259,0.43,0.343,0.375,0.248,41,200,94,7.1,2311,87.7,87.85,128,381,719,0.1,6.36,116,154,128,153,299,324,303
1076,514917,"Hernandez, Cesar",1076,100,0.283,0.124,0.364,0.408,0.335,0.33,0.273,66,233,87.3,4.3,2254,88.9,89.1,92,469,607,0.2,6.3,109,147,103,149,287,318,288
1074,542303,"Ozuna, Marcell",1074,100,0.338,0.298,0.391,0.636,0.444,0.435,0.312,77,228,93,16.4,2202,88.5,88.84,156,497,577,0.3,6.52,105,150,120,145,308,324,293
1063,592192,"Canha, Mark",1063,100,0.246,0.162,0.307,0.408,0.351,0.356,0.238,47,191,89.7,19.4,2283,88.1,87.61,97,404,659,-0.5,6.22,107,152,120,145,300,324,294
1060,621020,"Swanson, Dansby",1060,100,0.274,0.19,0.35,0.464,0.348,0.352,0.266,65,237,88.7,14.8,2232,88.4,88.73,158,500,560,0.3,6.5,105,151,115,145,306,319,288
1048,663757,"Grisham, Trent",1048,100,0.251,0.205,0.31,0.456,0.349,0.367,0.264,54,215,85.5,12.3,2249,89.8,89.64,97,401,647,-0.2,6.22,115,153,111,152,294,325,304
1036,596115,"Story, Trevor",1036,100,0.289,0.23,0.354,0.519,0.37,0.333,0.252,68,235,90,20.8,2292,89.4,89.51,122,475,561,0.1,6.22,105,151,119,145,310,332,301
1033,607208,"Turner, Trea",1033,100,0.335,0.253,0.353,0.588,0.413,0.379,0.299,78,233,90.5,9.5,2227,88.7,88.93,95,484,549,0.2,6.41,105,150,112,145,302,319,290
1027,547989,"Abreu, José",1027,100,0.317,0.3,0.35,0.617,0.411,0.398,0.299,76,240,92.9,10.9,2324,88.5,88.59,150,498,529,0.1,6.33,106,152,120,146,303,330,297
1023,545361,"Trout, Mike",1023,100,0.281,0.322,0.3,0.603,0.407,0.422,0.286,56,199,93.7,23.1,2279,89.3,88.86,73,375,648,-0.4,6.16,106,152,122,146,310,330,299
1021,518692,"Freeman, Freddie",1021,100,0.341,0.299,0.366,0.64,0.456,0.462,0.338,73,214,92.4,17.2,2174,88.7,88.96,99,492,529,0.3,6.44,116,160,140,148,297,323,301
1002,621566,"Olson, Matt",1002,100,0.195,0.229,0.227,0.424,0.316,0.336,0.221,41,210,91.4,19,2284,88.6,88.07,149,428,574,-0.5,6.19,116,166,126,151,299,326,302
999,553993,"Suárez, Eugenio",999,100,0.202,0.268,0.214,0.47,0.332,0.341,0.216,40,198,89.1,17.9,2322,88,88.28,132,417,582,0.3,6.38,106,151,118,143,299,326,296
996,593160,"Merrifield, Whit",996,100,0.282,0.157,0.295,0.44,0.329,0.336,0.292,70,248,85.6,15.3,2274,87.7,87.87,79,491,505,0.2,6.22,105,150,106,147,305,321,288
990,669374,"Hiura, Keston",990,100,0.212,0.198,0.273,0.41,0.304,0.316,0.209,46,217,87.4,14.3,2307,88.3,88.54,212,496,494,0.2,6.35,107,151,119,147,305,322,293
988,665487,"Tatis Jr., Fernando",988,100,0.277,0.295,0.306,0.571,0.392,0.419,0.296,62,224,95.9,8.8,2235,89.3,89.13,130,464,524,-0.2,6.25,106,152,116,145,305,329,300
985,519203,"Rizzo, Anthony",985,100,0.222,0.192,0.218,0.414,0.326,0.353,0.265,45,203,87.2,16,2324,89,89.34,81,419,566,0.3,6.45,115,160,125,151,293,325,305
984,543760,"Semien, Marcus",984,100,0.223,0.152,0.26,0.374,0.299,0.281,0.203,47,211,86.2,19.3,2274,88.4,88.02,101,434,549,-0.4,6.18,107,152,116,145,301,322,289
982,641786,"Lewis, Kyle",982,100,0.262,0.175,0.341,0.437,0.349,0.343,0.238,54,206,88.3,11.1,2276,89,88.65,154,424,558,-0.4,6.14,108,151,119,147,304,321,294
982,614177,"Reyes, Franmil",982,100,0.275,0.175,0.355,0.45,0.341,0.34,0.245,58,211,92.4,11.2,2308,88.2,88.37,174,452,530,0.2,6.33,106,151,123,146,303,328,297
981,660162,"Moncada, Yoán",981,100,0.225,0.16,0.315,0.385,0.309,0.288,0.206,45,200,87.4,13.2,2274,88.4,88.53,129,423,558,0.1,6.32,112,155,120,149,295,326,301
980,646240,"Devers, Rafael",980,100,0.263,0.22,0.325,0.483,0.337,0.327,0.255,61,232,93,10.6,2218,88.6,88.68,170,539,441,0.1,6.37,112,152,124,149,285,322,304
978,607043,"Nimmo, Brandon",978,100,0.28,0.204,0.326,0.484,0.386,0.356,0.247,52,186,86.8,7.4,2181,88.3,87.72,88,407,571,-0.6,6.34,115,149,113,149,290,321,300
978,502671,"Goldschmidt, Paul",978,100,0.304,0.162,0.364,0.466,0.387,0.396,0.285,58,191,89.2,11.7,2347,88.6,88.9,94,397,581,0.3,6.41,106,152,121,146,307,328,301
974,457705,"McCutchen, Andrew",974,100,0.253,0.18,0.281,0.433,0.327,0.355,0.273,55,217,89.8,18.2,2247,88.4,88.4,87,395,579,0,6.3,106,152,119,146,303,322,287
973,547180,"Harper, Bryce",973,100,0.268,0.274,0.279,0.542,0.4,0.453,0.308,51,190,90.3,14,2215,88.6,88.66,128,447,526,0.1,6.34,114,154,130,147,296,325,298
967,593428,"Bogaerts, Xander",967,100,0.3,0.202,0.329,0.502,0.368,0.339,0.257,61,203,89,8.7,2225,88.4,88.51,97,422,545,0.1,6.44,106,151,120,148,295,322,294
967,641355,"Bellinger, Cody",967,100,0.239,0.216,0.245,0.455,0.34,0.372,0.28,51,213,89,16.3,2274,89,88,107,460,507,-1,6.18,116,153,132,151,300,329,308
966,592206,"Castellanos, Nick",966,100,0.225,0.261,0.257,0.486,0.329,0.372,0.272,49,218,91,16.5,2349,87.7,87.94,171,500,466,0.2,6.38,105,150,118,143,301,327,295
963,572122,"Seager, Kyle",963,100,0.241,0.192,0.24,0.433,0.338,0.365,0.252,49,203,89.1,17.7,2260,88.2,87.9,79,388,575,-0.3,6.16,114,162,123,153,293,323,302
962,572233,"Walker, Christian",962,100,0.271,0.188,0.317,0.459,0.341,0.339,0.264,59,218,90.4,11.5,2295,89.4,89.09,135,498,464,-0.3,6.22,109,152,120,145,308,327,297
956,608336,"Gallo, Joey",956,100,0.181,0.197,0.24,0.378,0.297,0.313,0.19,35,193,89,24.5,2250,88.1,87.75,156,417,539,-0.3,6.13,120,168,132,154,308,332,305
955,656941,"Schwarber, Kyle",955,100,0.188,0.204,0.219,0.393,0.307,0.335,0.22,36,191,92.4,8.5,2335,88.4,88.84,115,410,545,0.4,6.46,117,161,124,152,297,325,307
951,605204,"Davis, J.D.",951,100,0.247,0.142,0.318,0.389,0.342,0.361,0.256,47,190,90.1,3.3,2215,88.6,88.76,125,427,524,0.2,6.37,103,150,120,146,305,325,292
944,596748,"Franco, Maikel",944,100,0.278,0.179,0.298,0.457,0.329,0.304,0.254,62,223,86.7,8.5,2294,87.3,87.51,116,471,473,0.2,6.27,106,151,121,146,305,328,298
